,title,seed,test_size,epochs,test_acc,train_acc
0,BasicModelSmall_256dim_0.05ts_1seed_combined,1,0.05,9999,1.0,1.0
1,BasicModelSmall_256dim_0.1ts_2seed_combined,2,0.1,9999,1.0,0.9999999403953552
2,BasicModelSmall_256dim_0.15ts_3seed_combined,3,0.15,9999,1.0,1.0
3,BasicModelSmall_256dim_0.2ts_4seed_combined,4,0.2,9999,1.0,1.0
4,BasicModelSmall_256dim_0.25ts_5seed_combined,5,0.25,9999,1.0,1.0
5,BasicModelSmall_256dim_0.3ts_6seed_combined,6,0.3,9999,1.0,1.0
6,BasicModelSmall_256dim_0.35ts_7seed_combined,7,0.35,9999,0.9999999403953552,1.0
7,BasicModelSmall_256dim_0.4ts_8seed_combined,8,0.4,9999,1.0,1.0
8,BasicModelSmall_256dim_0.45ts_9seed_combined,9,0.45,9999,1.0,1.0
9,BasicModelSmall_256dim_0.5ts_10seed_combined,10,0.5,9999,1.0,0.9999999403953552
10,BasicModelSmall_256dim_0.55ts_11seed_combined,11,0.55,9999,1.0,1.0
11,BasicModelSmall_256dim_0.6ts_12seed_combined,12,0.6,9999,1.0,1.0
12,BasicModelSmall_256dim_0.65ts_13seed_combined,13,0.65,9999,0.9966740608215332,1.0
13,BasicModelSmall_256dim_0.7ts_14seed_combined,14,0.7,9999,0.9843829870223999,0.9999999403953552
14,BasicModelSmall_256dim_0.75ts_15seed_combined,15,0.75,9999,0.9548783898353577,1.0
15,BasicModelSmall_256dim_0.8ts_16seed_combined,16,0.8,9999,0.7805628776550293,1.0
16,BasicModelSmall_256dim_0.85ts_17seed_combined,17,0.85,9999,0.5657203197479248,1.0
17,BasicModelSmall_256dim_0.9ts_18seed_combined,18,0.9,9999,0.0011818002676591277,1.0
18,BasicModelSmall_256dim_0.95ts_19seed_combined,19,0.95,9999,0.0033739458303898573,1.0
19,BasicModelSmall_256dim_0.05ts_20seed_combined,20,0.05,9999,1.0,1.0
20,BasicModelSmall_256dim_0.1ts_21seed_combined,21,0.1,9999,1.0,1.0
21,BasicModelSmall_256dim_0.15ts_22seed_combined,22,0.15,9999,1.0,0.9999999403953552
22,BasicModelSmall_256dim_0.2ts_23seed_combined,23,0.2,9999,1.0,1.0
23,BasicModelSmall_256dim_0.25ts_24seed_combined,24,0.25,9999,1.0,1.0
24,BasicModelSmall_256dim_0.3ts_25seed_combined,25,0.3,9999,1.0,1.0
25,BasicModelSmall_256dim_0.35ts_26seed_combined,26,0.35,9999,1.0,1.0
26,BasicModelSmall_256dim_0.4ts_27seed_combined,27,0.4,9999,1.0,1.0
27,BasicModelSmall_256dim_0.45ts_28seed_combined,28,0.45,9999,1.0,0.9999999403953552
28,BasicModelSmall_256dim_0.5ts_29seed_combined,29,0.5,9999,1.0,1.0
29,BasicModelSmall_256dim_0.55ts_30seed_combined,30,0.55,9999,1.0,1.0
30,BasicModelSmall_256dim_0.6ts_31seed_combined,31,0.6,9999,1.0,1.0
31,BasicModelSmall_256dim_0.65ts_32seed_combined,32,0.65,9999,0.9986267685890198,1.0
32,BasicModelSmall_256dim_0.7ts_33seed_combined,33,0.7,9999,0.9729729890823364,1.0
33,BasicModelSmall_256dim_0.75ts_34seed_combined,34,0.75,9999,0.9657224416732788,1.0
34,BasicModelSmall_256dim_0.8ts_35seed_combined,35,0.8,9999,0.8129528164863586,1.0
35,BasicModelSmall_256dim_0.85ts_36seed_combined,36,0.85,9999,0.3630666434764862,1.0
36,BasicModelSmall_256dim_0.9ts_37seed_combined,37,0.9,9999,0.0005932371132075787,1.0
37,BasicModelSmall_256dim_0.95ts_38seed_combined,38,0.95,9999,0.00206069671548903,1.0
38,BasicModelSmall_256dim_0.05ts_39seed_combined,39,0.05,9999,1.0,1.0
39,BasicModelSmall_256dim_0.1ts_40seed_combined,40,0.1,9999,1.0,1.0
40,BasicModelSmall_256dim_0.15ts_41seed_combined,41,0.15,9999,1.0,1.0
41,BasicModelSmall_256dim_0.2ts_42seed_combined,42,0.2,9999,1.0,1.0
42,BasicModelSmall_256dim_0.25ts_43seed_combined,43,0.25,9999,1.0,1.0
43,BasicModelSmall_256dim_0.3ts_44seed_combined,44,0.3,9999,0.9999999403953552,1.0
44,BasicModelSmall_256dim_0.35ts_45seed_combined,45,0.35,9999,1.0,1.0
45,BasicModelSmall_256dim_0.4ts_46seed_combined,46,0.4,9999,0.9999999403953552,0.9999999403953552
46,BasicModelSmall_256dim_0.45ts_47seed_combined,47,0.45,9999,1.0,1.0
47,BasicModelSmall_256dim_0.5ts_48seed_combined,48,0.5,9999,1.0,1.0
48,BasicModelSmall_256dim_0.55ts_49seed_combined,49,0.55,9999,1.0,1.0
49,BasicModelSmall_256dim_0.6ts_50seed_combined,50,0.6,9999,0.997942328453064,1.0
50,BasicModelSmall_256dim_0.65ts_51seed_combined,51,0.65,9999,0.9973103404045105,0.9999999403953552
51,BasicModelSmall_256dim_0.7ts_52seed_combined,52,0.7,9999,0.9941933751106262,1.0
52,BasicModelSmall_256dim_0.75ts_53seed_combined,53,0.75,9999,0.910317063331604,1.0
53,BasicModelSmall_256dim_0.8ts_54seed_combined,54,0.8,9999,0.8684741258621216,1.0
54,BasicModelSmall_256dim_0.85ts_55seed_combined,55,0.85,9999,0.171590194106102,1.0
55,BasicModelSmall_256dim_0.9ts_56seed_combined,56,0.9,9999,0.0009908839128911495,1.0
56,BasicModelSmall_256dim_0.95ts_57seed_combined,57,0.95,9999,0.002621722873300314,1.0
